City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
253,lorengau,-2.0226,147.2712,28.08,78,26,4.02,PG,1689889148
254,amble,55.3333,-1.5833,14.08,77,75,3.09,GB,1689889683
255,cotonou,6.3654,2.4183,26.99,83,40,6.69,BJ,1689889596
256,banff,51.1762,-115.5698,25.21,29,88,1.54,CA,1689889568
257,apodi,-5.6642,-37.7989,27.78,51,27,8.31,BR,1689889685
258,hoemul-li,41.4339,129.67,21.54,92,14,0.9,KP,1689889686
259,haiku-pauwela,20.9219,-156.3051,27.92,69,75,7.72,US,1689889148
260,namibe,-15.1961,12.1522,18.46,77,88,1.86,AO,1689889687
261,apolinario saravia,-24.4328,-63.9954,18.34,53,100,3.59,AR,1689889687
262,save,8.0425,2.486,23.63,96,93,2.97,BJ,1689889689
263,mugia,43.1041,-9.2179,18.84,85,0,1.31,ES,1689889689
264,afif,23.9065,42.9172,29.24,13,25,5.29,SA,1689889690
265,porto novo,6.4965,2.6036,26.9,85,96,3.84,BJ,1689889690
266,tangalle,6.024,80.7911,26.09,85,76,5.41,LK,1689889194
267,arraial do cabo,-22.9661,-42.0278,20.92,64,75,5.14,BR,1689889144
268,mossel bay,-34.1831,22.146,7.96,66,0,6.91,ZA,1689889451
269,mogocha,53.7333,119.7667,12.92,68,95,0.16,RU,1689889693
270,tual,-5.6667,132.75,26.39,79,12,7.72,ID,1689889693
271,biltine,14.5333,20.9167,29.64,48,92,4.03,TD,1689889694
272,amiens,49.9,2.3,17.55,81,100,1.53,FR,1689889694
273,steinkjer,64.193,11.3851,10.52,96,99,1.13,NO,1689889695
274,gargalianoi,37.0667,21.6333,27.97,53,0,2.89,GR,1689889695
275,bandon,51.7469,-8.7425,13.77,92,11,2.81,IE,1689889696
276,pajara,28.3504,-14.1076,22.73,84,4,8.36,ES,1689889697
277,markala,13.7021,-6.0659,30.54,53,72,3.1,ML,1689889697
278,onguday,50.75,86.15,12.46,90,9,0.57,RU,1689889698
279,tura,25.5198,90.2201,23.22,97,100,1.29,IN,1689888945
280,abepura,-2.6333,140.5833,23.45,88,40,0.0,ID,1689889699
281,chipinge,-20.1883,32.6236,12.1,94,100,2.56,ZW,1689889700
282,dwarka,22.2394,68.9678,27.9,85,100,6.41,IN,1689889705
283,beboto,8.2668,16.939,22.48,82,79,1.53,TD,1689889706
284,sirte,31.2089,16.5887,27.54,71,0,2.73,LY,1689889138
285,ziro,27.6333,93.8333,14.71,95,94,0.76,IN,1689889708
286,hithadhoo,-0.6,73.0833,28.16,74,22,8.16,MV,1689889028
287,charters towers,-20.1,146.2667,16.4,82,21,1.81,AU,1689889218
288,al jumum,21.6169,39.6981,33.91,19,44,2.58,SA,1689889710
289,oum hadjer,13.2954,19.6966,28.77,57,71,3.1,TD,1689889710
290,katsuura,35.1333,140.3,24.6,85,50,5.73,JP,1689889144
291,port augusta,-32.5,137.7667,6.26,83,26,0.91,AU,1689889711
292,mubi,10.2676,13.2644,22.27,88,65,0.52,NG,1689889712
293,colonia,50.9333,6.95,18.31,76,0,3.6,DE,1689889596
294,as sulayyil,20.4607,45.5779,36.14,9,93,2.14,SA,1689889214
295,iwaki,37.05,140.8833,24.32,89,48,2.96,JP,1689889714
296,luwuk,-0.9516,122.7875,24.48,86,29,2.21,ID,1689889714
297,afaahiti,-17.75,-149.2833,24.93,64,18,7.96,PF,1689889171
298,dickinson,29.4608,-95.0513,38.96,57,20,4.63,US,1689889554
299,mocimboa,-11.3167,40.35,22.09,91,2,3.88,MZ,1689889716
300,pontevedra,42.431,-8.6444,18.97,97,10,0.63,ES,1689889702
301,tommot,58.9564,126.2925,13.34,91,90,3.33,RU,1689889598
302,geraldton,-28.7667,114.6,6.23,93,0,5.14,AU,1689889030
303,mukalla,14.5425,49.1242,29.77,69,100,3.67,YE,1689889718
304,happy valley-goose bay,53.3168,-60.3315,23.17,46,75,2.57,CA,1689889148
305,kavaratti,10.5669,72.642,28.19,79,100,9.14,IN,1689889180
306,orkney,-26.9802,26.6727,10.56,70,61,6.75,ZA,1689889719
307,lodwar,3.1191,35.5973,28.21,46,74,1.91,KE,1689889199
308,ulsteinvik,62.3432,5.8487,14.31,90,100,1.34,NO,1689889147
309,artvin,41.1667,41.8333,18.51,88,22,0.51,TR,1689889721
310,crane,31.3974,-102.3501,37.95,17,100,7.97,US,1689889721
311,zhangye,38.9342,100.4517,19.96,35,0,2.68,CN,1689889722
312,puerto santa,-8.9906,-78.6456,21.74,76,26,5.28,PE,1689889116
313,jampur,29.6441,70.5954,36.26,47,39,0.57,PK,1689889464
314,san julian,21.0167,-102.1667,27.88,26,45,1.09,MX,1689889723
315,kodinar,20.7903,70.7031,26.83,88,100,5.51,IN,1689889724
316,ambovombe,-25.1667,46.0833,19.3,82,51,4.99,MG,1689889724
317,hammerfest,70.6634,23.6821,8.25,93,75,3.6,NO,1689889050
318,itoman,26.1247,127.6694,28.01,86,75,1.54,JP,1689889725
319,sao jose da coroa grande,-8.8978,-35.1478,24.35,73,13,6.26,BR,1689889006
320,hiawatha,42.0358,-91.6821,28.14,51,100,8.23,US,1689889726
321,celendin,-6.8703,-78.1517,18.29,53,78,3.78,PE,1689889727
322,hotan,37.0997,79.9269,28.07,16,43,0.96,CN,1689889727
323,hobyo,5.3505,48.5268,25.27,83,97,12.47,SO,1689889728
324,zabaykal'sk,49.6333,117.3167,17.48,57,100,2.23,RU,1689889728
325,nuuk,64.1835,-51.7216,10.34,93,75,2.06,GL,1689889088
326,shizunai-furukawacho,42.3339,142.3669,19.07,86,38,1.62,JP,1689889729
327,mata-utu,-13.2816,-176.1745,27.93,80,99,4.61,WF,1689889730
328,basco,20.4487,121.9702,28.95,77,69,4.55,PH,1689889190
329,tolanaro,-25.0319,46.9987,20.04,88,40,2.06,MG,1689889161
330,wenxing,28.6667,112.8833,27.15,87,71,2.18,CN,1689889731
331,malango,-2.9627,119.9001,18.62,98,86,0.57,ID,1689889186
332,pointe-noire,-4.7761,11.8635,21.17,85,68,1.97,CG,1689889732
333,santa terezinha,-29.9002,-50.0904,17.13,89,100,7.07,BR,1689889184
334,al ghayzah,16.2079,52.176,25.31,90,31,3.0,YE,1689889171
335,calarasi,47.2544,28.3081,17.79,90,26,3.51,MD,1689889734
336,berezovyy,51.6667,135.7,25.89,53,60,0.43,RU,1689889734
337,conde,-7.2597,-34.9075,24.7,83,75,4.12,BR,1689889735
338,yeed,4.55,43.0333,26.97,53,100,10.41,SO,1689889735
339,al wasitah,29.3378,31.2056,30.19,34,0,4.79,EG,1689889736
340,mhamid,29.82,-5.72,35.79,8,0,2.73,MA,1689889736
341,konosha,60.9736,40.257,12.78,98,100,5.44,RU,1689889737
342,san fernando de apure,7.8878,-67.4724,26.4,91,100,0.7,VE,1689889713
343,kerikeri,-35.2268,173.9474,8.84,95,19,1.05,NZ,1689888916
344,handan,36.6006,114.4678,25.01,90,96,1.62,CN,1689889738
345,ende,-8.8432,121.6623,23.56,90,88,2.01,ID,1689889739
346,norala,6.5225,124.6592,22.87,91,78,0.76,PH,1689889739
347,hebron,31.5333,35.1,24.97,26,0,1.52,PS,1689889740
348,vilyuchinsk,52.9306,158.4028,13.15,95,100,0.92,RU,1689889111
349,yingshang chengguanzhen,32.6295,116.2701,25.11,95,99,1.47,CN,1689889741
350,molteno,-31.3968,26.3625,0.67,85,100,3.25,ZA,1689889741
351,midelt,32.6852,-4.7451,23.75,42,95,4.14,MA,1689889742
352,port arthur,38.8,121.2667,24.12,80,98,1.89,CN,1689889743
353,baoqing,46.3317,132.2111,23.03,83,87,1.94,CN,1689889744
354,belmonte,-15.8631,-38.8828,22.69,78,71,3.9,BR,1689889212
355,pauini,-7.7136,-66.9764,29.04,51,18,0.9,BR,1689889745
356,aykhal,66.0,111.5,14.42,88,100,6.35,RU,1689889745
357,hallein,47.6833,13.1,18.8,85,20,2.57,AT,1689889746
358,blankenberge,51.3131,3.1323,16.97,61,97,1.36,BE,1689889746
359,hadibu,12.65,54.0333,25.09,81,78,9.13,YE,1689889017
360,guerrero negro,27.9769,-114.0611,25.04,60,14,8.35,MX,1689889016
361,rio grande,-32.035,-52.0986,15.06,96,100,3.98,BR,1689889145
362,chuguyevka,44.1653,133.8633,22.09,78,9,0.92,RU,1689889748
363,vila franca do campo,37.7167,-25.4333,21.23,76,99,0.37,PT,1689889749
364,portage la prairie,49.9728,-98.2926,27.18,45,40,3.09,CA,1689889749
